DATE,HE,Trading_Hub,Renewable_Type,MW
2023-01-01,1,SP15,Wind,2108.0457
2023-01-01,2,SP15,Wind,2563.03702
2023-01-01,3,SP15,Wind,2799.13237
2023-01-01,4,SP15,Wind,2659.3371
2023-01-01,5,SP15,Wind,2224.13754
2023-01-01,6,SP15,Wind,2216.24633
2023-01-01,7,SP15,Wind,2265.05645
2023-01-01,8,SP15,Wind,2164.19776
2023-01-01,9,SP15,Wind,1981.71488
2023-01-01,10,SP15,Wind,1919.02777
2023-01-01,11,SP15,Wind,2025.50935
2023-01-01,12,SP15,Wind,2234.72839
2023-01-01,13,SP15,Wind,2528.04697
2023-01-01,14,SP15,Wind,3220.6522
2023-01-01,15,SP15,Wind,3171.98126
2023-01-01,16,SP15,Wind,2991.53385
2023-01-01,17,SP15,Wind,2618.64624
2023-01-01,18,SP15,Wind,2672.10087
2023-01-01,19,SP15,Wind,2752.71101
2023-01-01,20,SP15,Wind,2794.73367
2023-01-01,21,SP15,Wind,2444.50633
2023-01-01,22,SP15,Wind,2200.90295
2023-01-01,23,SP15,Wind,1996.70951
2023-01-01,24,SP15,Wind,1763.62772
2023-01-02,1,SP15,Wind,1344.3988
2023-01-02,2,SP15,Wind,1106.47063
2023-01-02,3,SP15,Wind,1103.38422
2023-01-02,4,SP15,Wind,1224.3718
2023-01-02,5,SP15,Wind,1233.63468
2023-01-02,6,SP15,Wind,1156.12088
2023-01-02,7,SP15,Wind,936.86655
2023-01-02,8,SP15,Wind,809.94674
2023-01-02,9,SP15,Wind,801.71526
2023-01-02,10,SP15,Wind,801.08989
2023-01-02,11,SP15,Wind,926.87102
2023-01-02,12,SP15,Wind,984.35045
2023-01-02,13,SP15,Wind,1101.53422
2023-01-02,14,SP15,Wind,1315.65236
2023-01-02,15,SP15,Wind,1556.81763
2023-01-02,16,SP15,Wind,1821.22476
2023-01-02,17,SP15,Wind,1415.60945
2023-01-02,18,SP15,Wind,1445.45878
2023-01-02,19,SP15,Wind,1196.24397
2023-01-02,20,SP15,Wind,1434.23695
2023-01-02,21,SP15,Wind,1778.42176
2023-01-02,22,SP15,Wind,1723.88645
2023-01-02,23,SP15,Wind,1601.67898
2023-01-02,24,SP15,Wind,1400.27279
2023-01-03,1,SP15,Wind,1533.44101
2023-01-03,2,SP15,Wind,1432.27663
2023-01-03,3,SP15,Wind,1501.35009
2023-01-03,4,SP15,Wind,1335.03162
2023-01-03,5,SP15,Wind,1347.94524
2023-01-03,6,SP15,Wind,1402.01881
2023-01-03,7,SP15,Wind,1181.48802
2023-01-03,8,SP15,Wind,956.28455
2023-01-03,9,SP15,Wind,772.13058
2023-01-03,10,SP15,Wind,819.37073
2023-01-03,11,SP15,Wind,846.66667
2023-01-03,12,SP15,Wind,671.22994
2023-01-03,13,SP15,Wind,713.89615
2023-01-03,14,SP15,Wind,671.27199
2023-01-03,15,SP15,Wind,793.86262
2023-01-03,16,SP15,Wind,621.40725
2023-01-03,17,SP15,Wind,447.24477
2023-01-03,18,SP15,Wind,311.4698
2023-01-03,19,SP15,Wind,289.69893
2023-01-03,20,SP15,Wind,201.79811
2023-01-03,21,SP15,Wind,137.63095
2023-01-03,22,SP15,Wind,233.71931
2023-01-03,23,SP15,Wind,254.64618
2023-01-03,24,SP15,Wind,293.79416
2023-01-04,1,SP15,Wind,385.25688
2023-01-04,2,SP15,Wind,564.30431
2023-01-04,3,SP15,Wind,694.53256
2023-01-04,4,SP15,Wind,481.86505
2023-01-04,5,SP15,Wind,401.87586
2023-01-04,6,SP15,Wind,330.39663
2023-01-04,7,SP15,Wind,172.05234
2023-01-04,8,SP15,Wind,215.30946
2023-01-04,9,SP15,Wind,259.3279
2023-01-04,10,SP15,Wind,234.50109
2023-01-04,11,SP15,Wind,395.12133
2023-01-04,12,SP15,Wind,533.92256
2023-01-04,13,SP15,Wind,580.81706
2023-01-04,14,SP15,Wind,582.8278
2023-01-04,15,SP15,Wind,579.63642
2023-01-04,16,SP15,Wind,565.98479
2023-01-04,17,SP15,Wind,601.07794
2023-01-04,18,SP15,Wind,597.16861
2023-01-04,19,SP15,Wind,476.24974
2023-01-04,20,SP15,Wind,574.04547
2023-01-04,21,SP15,Wind,643.89395
2023-01-04,22,SP15,Wind,620.57466
2023-01-04,23,SP15,Wind,1106.34673
2023-01-04,24,SP15,Wind,1242.57613
2023-01-05,1,SP15,Wind,1321.22728
2023-01-05,2,SP15,Wind,1156.6782
2023-01-05,3,SP15,Wind,864.97628
2023-01-05,4,SP15,Wind,949.87731
2023-01-05,5,SP15,Wind,839.52793
2023-01-05,6,SP15,Wind,623.0716
2023-01-05,7,SP15,Wind,801.77559
2023-01-05,8,SP15,Wind,871.04458
2023-01-05,9,SP15,Wind,510.77824
2023-01-05,10,SP15,Wind,453.85313
2023-01-05,11,SP15,Wind,433.07666
2023-01-05,12,SP15,Wind,642.69804
2023-01-05,13,SP15,Wind,1195.60415
2023-01-05,14,SP15,Wind,1241.73062
2023-01-05,15,SP15,Wind,1272.68981
2023-01-05,16,SP15,Wind,1346.79315
2023-01-05,17,SP15,Wind,1417.61511
2023-01-05,18,SP15,Wind,2281.80063
2023-01-05,19,SP15,Wind,2455.75759
2023-01-05,20,SP15,Wind,2266.60017
2023-01-05,21,SP15,Wind,2172.56584
2023-01-05,22,SP15,Wind,2556.20434
2023-01-05,23,SP15,Wind,2583.30109
2023-01-05,24,SP15,Wind,2509.24732
2023-01-06,1,SP15,Wind,2238.67768
2023-01-06,2,SP15,Wind,1949.19802
2023-01-06,3,SP15,Wind,1669.18275
2023-01-06,4,SP15,Wind,1325.77927
2023-01-06,5,SP15,Wind,944.41563
2023-01-06,6,SP15,Wind,836.4223
2023-01-06,7,SP15,Wind,1065.06307
2023-01-06,8,SP15,Wind,1080.69022
2023-01-06,9,SP15,Wind,524.86342
2023-01-06,10,SP15,Wind,258.82727
2023-01-06,11,SP15,Wind,261.85006
2023-01-06,12,SP15,Wind,331.20648
2023-01-06,13,SP15,Wind,284.68828
2023-01-06,14,SP15,Wind,343.85033
2023-01-06,15,SP15,Wind,207.60494
2023-01-06,16,SP15,Wind,205.85503
2023-01-06,17,SP15,Wind,212.91462
2023-01-06,18,SP15,Wind,228.23324
2023-01-06,19,SP15,Wind,299.12234
2023-01-06,20,SP15,Wind,350.52955
2023-01-06,21,SP15,Wind,355.85064
2023-01-06,22,SP15,Wind,270.80254
2023-01-06,23,SP15,Wind,280.3783
2023-01-06,24,SP15,Wind,308.18164
2023-01-07,1,SP15,Wind,311.18662
2023-01-07,2,SP15,Wind,273.27877
2023-01-07,3,SP15,Wind,280.18942
2023-01-07,4,SP15,Wind,227.0724
2023-01-07,5,SP15,Wind,164.15176
2023-01-07,6,SP15,Wind,155.57543
2023-01-07,7,SP15,Wind,168.24479
2023-01-07,8,SP15,Wind,210.77345
2023-01-07,9,SP15,Wind,171.72742
2023-01-07,10,SP15,Wind,179.09037
2023-01-07,11,SP15,Wind,165.65412
2023-01-07,12,SP15,Wind,143.42926
2023-01-07,13,SP15,Wind,192.3181
2023-01-07,14,SP15,Wind,234.01067
2023-01-07,15,SP15,Wind,231.85234
2023-01-07,16,SP15,Wind,248.47918
2023-01-07,17,SP15,Wind,198.05583
2023-01-07,18,SP15,Wind,185.48071
2023-01-07,19,SP15,Wind,196.64034
2023-01-07,20,SP15,Wind,150.64545
2023-01-07,21,SP15,Wind,131.00821
2023-01-07,22,SP15,Wind,129.07392
2023-01-07,23,SP15,Wind,180.244
2023-01-07,24,SP15,Wind,252.82007
2023-01-08,1,SP15,Wind,408.46471
2023-01-08,2,SP15,Wind,526.44358
2023-01-08,3,SP15,Wind,489.87841
2023-01-08,4,SP15,Wind,542.62411
2023-01-08,5,SP15,Wind,379.55828
2023-01-08,6,SP15,Wind,383.43453
2023-01-08,7,SP15,Wind,464.2891
2023-01-08,8,SP15,Wind,447.38521
2023-01-08,9,SP15,Wind,444.09217
2023-01-08,10,SP15,Wind,217.96467
2023-01-08,11,SP15,Wind,195.1432
2023-01-08,12,SP15,Wind,289.38187
2023-01-08,13,SP15,Wind,341.80335
2023-01-08,14,SP15,Wind,447.48523
2023-01-08,15,SP15,Wind,463.4265
2023-01-08,16,SP15,Wind,443.75216
2023-01-08,17,SP15,Wind,356.09597
2023-01-08,18,SP15,Wind,275.48956
2023-01-08,19,SP15,Wind,259.27795
2023-01-08,20,SP15,Wind,274.22005
2023-01-08,21,SP15,Wind,323.67394
2023-01-08,22,SP15,Wind,449.76095
2023-01-08,23,SP15,Wind,602.53159
2023-01-08,24,SP15,Wind,556.04545
2023-01-09,1,SP15,Wind,804.21556
2023-01-09,2,SP15,Wind,869.07109
2023-01-09,3,SP15,Wind,725.85939
2023-01-09,4,SP15,Wind,855.18061
2023-01-09,5,SP15,Wind,991.21013
2023-01-09,6,SP15,Wind,907.86913
2023-01-09,7,SP15,Wind,1124.08381
2023-01-09,8,SP15,Wind,1056.29945
2023-01-09,9,SP15,Wind,990.29336
2023-01-09,10,SP15,Wind,1016.58909
2023-01-09,11,SP15,Wind,1023.64561
2023-01-09,12,SP15,Wind,1152.90301
2023-01-09,13,SP15,Wind,1143.62746
2023-01-09,14,SP15,Wind,1153.1147
2023-01-09,15,SP15,Wind,907.46976
2023-01-09,16,SP15,Wind,756.28012
2023-01-09,17,SP15,Wind,1035.43119
2023-01-09,18,SP15,Wind,1175.75662
2023-01-09,19,SP15,Wind,1389.18833
2023-01-09,20,SP15,Wind,1607.71984
2023-01-09,21,SP15,Wind,1546.8458
2023-01-09,22,SP15,Wind,1775.0329
2023-01-09,23,SP15,Wind,1970.68418
2023-01-09,24,SP15,Wind,1861.1156
2023-01-10,1,SP15,Wind,1641.67106
2023-01-10,2,SP15,Wind,1727.09757
2023-01-10,3,SP15,Wind,1845.99143
2023-01-10,4,SP15,Wind,2106.49523
2023-01-10,5,SP15,Wind,2023.45128
2023-01-10,6,SP15,Wind,1736.41284
2023-01-10,7,SP15,Wind,1430.65055
2023-01-10,8,SP15,Wind,1510.58031
2023-01-10,9,SP15,Wind,2021.33443
2023-01-10,10,SP15,Wind,2033.27527
2023-01-10,11,SP15,Wind,2550.07886
2023-01-10,12,SP15,Wind,2349.64923
2023-01-10,13,SP15,Wind,2353.75297
2023-01-10,14,SP15,Wind,2419.2584
2023-01-10,15,SP15,Wind,2363.79781
2023-01-10,16,SP15,Wind,2255.36003
2023-01-10,17,SP15,Wind,2141.25896
2023-01-10,18,SP15,Wind,1900.66059
2023-01-10,19,SP15,Wind,1760.87322
2023-01-10,20,SP15,Wind,1770.4466
2023-01-10,21,SP15,Wind,1790.56925
2023-01-10,22,SP15,Wind,2058.83836
2023-01-10,23,SP15,Wind,1646.10443
2023-01-10,24,SP15,Wind,1526.47922
2023-01-11,1,SP15,Wind,1549.94704
2023-01-11,2,SP15,Wind,1361.87997
2023-01-11,3,SP15,Wind,1208.8917
2023-01-11,4,SP15,Wind,953.00633
2023-01-11,5,SP15,Wind,730.93072
2023-01-11,6,SP15,Wind,581.49523
2023-01-11,7,SP15,Wind,410.84315
2023-01-11,8,SP15,Wind,309.11693
2023-01-11,9,SP15,Wind,276.23797
2023-01-11,10,SP15,Wind,333.26685
2023-01-11,11,SP15,Wind,269.67799
2023-01-11,12,SP15,Wind,213.90249
2023-01-11,13,SP15,Wind,179.86039
2023-01-11,14,SP15,Wind,131.98819
2023-01-11,15,SP15,Wind,142.08993
2023-01-11,16,SP15,Wind,119.57446
2023-01-11,17,SP15,Wind,116.64579
2023-01-11,18,SP15,Wind,158.80861
2023-01-11,19,SP15,Wind,202.00854
2023-01-11,20,SP15,Wind,275.01339
2023-01-11,21,SP15,Wind,361.20603
2023-01-11,22,SP15,Wind,359.71751
2023-01-11,23,SP15,Wind,393.51806
2023-01-11,24,SP15,Wind,377.38183
2023-01-12,1,SP15,Wind,304.56908
2023-01-12,2,SP15,Wind,347.72716
2023-01-12,3,SP15,Wind,416.22179
2023-01-12,4,SP15,Wind,419.77835
2023-01-12,5,SP15,Wind,462.51812
2023-01-12,6,SP15,Wind,462.40172
2023-01-12,7,SP15,Wind,453.7187
2023-01-12,8,SP15,Wind,434.53229
2023-01-12,9,SP15,Wind,467.40167
2023-01-12,11,SP15,Wind,565.58712
2023-01-12,12,SP15,Wind,667.06748
2023-01-12,13,SP15,Wind,681.56226
2023-01-12,14,SP15,Wind,608.10522
2023-01-12,15,SP15,Wind,496.10854
2023-01-12,16,SP15,Wind,434.05814
2023-01-12,17,SP15,Wind,479.04017
2023-01-12,19,SP15,Wind,486.23031
2023-01-12,20,SP15,Wind,456.67705
2023-01-12,21,SP15,Wind,376.67737
2023-01-12,22,SP15,Wind,282.9284
2023-01-12,23,SP15,Wind,271.6517
2023-01-12,24,SP15,Wind,240.1431
2023-01-13,1,SP15,Wind,160.18967
2023-01-13,2,SP15,Wind,115.27068
2023-01-13,3,SP15,Wind,41.17702
2023-01-13,4,SP15,Wind,51.96092
2023-01-13,5,SP15,Wind,99.95323
2023-01-13,6,SP15,Wind,86.77628
2023-01-13,7,SP15,Wind,122.61508
2023-01-13,8,SP15,Wind,94.25063
2023-01-13,9,SP15,Wind,89.56912
2023-01-13,10,SP15,Wind,106.8843
2023-01-13,11,SP15,Wind,66.40631
2023-01-13,12,SP15,Wind,18.91921
2023-01-13,13,SP15,Wind,95.66926
2023-01-13,14,SP15,Wind,206.47106
2023-01-13,15,SP15,Wind,239.44118
2023-01-13,16,SP15,Wind,203.67584
2023-01-13,17,SP15,Wind,164.37352
2023-01-13,18,SP15,Wind,230.15524
2023-01-13,19,SP15,Wind,120.00657
2023-01-13,20,SP15,Wind,105.94775
2023-01-13,21,SP15,Wind,144.61109
2023-01-13,22,SP15,Wind,264.01925
2023-01-13,23,SP15,Wind,366.50163
2023-01-13,24,SP15,Wind,438.31007
2023-01-14,1,SP15,Wind,481.66238
2023-01-14,2,SP15,Wind,587.03683
2023-01-14,3,SP15,Wind,724.45591
2023-01-14,4,SP15,Wind,621.63607
2023-01-14,5,SP15,Wind,454.20232
2023-01-14,6,SP15,Wind,642.21116
2023-01-14,7,SP15,Wind,558.36804
2023-01-14,8,SP15,Wind,503.96887
2023-01-14,9,SP15,Wind,360.38837
2023-01-14,10,SP15,Wind,299.85717
2023-01-14,11,SP15,Wind,362.5109
2023-01-14,12,SP15,Wind,570.80024
2023-01-14,13,SP15,Wind,853.03522
2023-01-14,14,SP15,Wind,1061.10476
2023-01-14,15,SP15,Wind,1123.56039
2023-01-14,16,SP15,Wind,810.07456
2023-01-14,17,SP15,Wind,714.13186
2023-01-14,18,SP15,Wind,823.87752
2023-01-14,19,SP15,Wind,911.96133
2023-01-14,20,SP15,Wind,1039.09774
2023-01-14,21,SP15,Wind,1132.30802
2023-01-14,22,SP15,Wind,1101.85821
2023-01-14,23,SP15,Wind,1476.0308
2023-01-14,24,SP15,Wind,1647.7935
2023-01-15,1,SP15,Wind,1692.31314
2023-01-15,2,SP15,Wind,2052.93083
2023-01-15,3,SP15,Wind,2478.27187
2023-01-15,4,SP15,Wind,2306.99847
2023-01-15,5,SP15,Wind,2346.55497
2023-01-15,6,SP15,Wind,2303.36717
2023-01-15,7,SP15,Wind,2593.80507
2023-01-15,8,SP15,Wind,2533.96344
2023-01-15,9,SP15,Wind,2054.86508
2023-01-15,10,SP15,Wind,1664.38478
2023-01-15,11,SP15,Wind,1417.59094
2023-01-15,12,SP15,Wind,1329.91906
2023-01-15,13,SP15,Wind,1452.43063
2023-01-15,14,SP15,Wind,1412.42803
2023-01-15,15,SP15,Wind,1200.62344
2023-01-15,16,SP15,Wind,1136.20378
2023-01-15,17,SP15,Wind,1189.05919
2023-01-15,18,SP15,Wind,1027.60312
2023-01-15,19,SP15,Wind,955.6245
2023-01-15,20,SP15,Wind,1095.22144
2023-01-15,21,SP15,Wind,1175.81844
2023-01-15,22,SP15,Wind,1271.43082
2023-01-15,23,SP15,Wind,1111.80936
